ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
54155,Simon H. Jefferies,M,33,170,50,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,NA
54203,Davor Jelaska,M,28,NA,NA,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Single Sculls,NA
54206,George Jelbart,M,22,186,75,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Double Sculls,NA
54207,Kerry P. Jelbart,M,28,190,93,Australia,AUS,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,NA
54208,"James Michael ""Kim"" Jelbart",M,23,183,86,Australia,AUS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,NA
54234,"Sidney Carter ""Sid"" Jelinek",M,25,NA,NA,United States,USA,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Bronze
54237,Micha Jeliski,M,24,194,89,Poland,POL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls,NA
54237,Micha Jeliski,M,28,194,89,Poland,POL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
54237,Micha Jeliski,M,32,194,89,Poland,POL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,NA
54256,Ernst Ascan Jencquel,M,21,NA,NA,"Germania Ruder Club, Hamburg",GER,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,NA
54261,Istvn Jeney,M,25,NA,72,Hungaria Evezos Egylet,HUN,1912 Summer,1912,Summer,Stockholm,Rowing,Rowing Men's Coxed Eights,NA
54290,John Edward Jenkinson,M,15,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Fours,NA
54295,David Michael Jennens,M,23,NA,NA,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,NA
54302,Lindsay Jennerich,F,29,165,59,Canada,CAN,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Lightweight Double Sculls,NA
54302,Lindsay Jennerich,F,34,165,59,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,Silver
54310,"Edward Francis ""Ed"" Jennings",M,26,157,44,United States,USA,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Pairs,Bronze
54310,"Edward Francis ""Ed"" Jennings",M,34,157,44,United States,USA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
54329,Willem Hendrik Jens,M,27,NA,NA,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxless Pairs,NA
54331,Aage Ulrik Jensen,M,20,NA,NA,Denmark,DEN,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,NA
54331,Aage Ulrik Jensen,M,20,NA,NA,Denmark,DEN,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Fours,NA
54341,Georg Egon Bent Jensen,M,26,NA,NA,Denmark,DEN,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxless Pairs,NA
